Date,Close
6/27/2018,107.34
6/28/2018,107.95
6/29/2018,109.82
7/2/2018,110.69
7/3/2018,110.59
7/5/2018,111.98
7/6/2018,116.21
7/9/2018,116.81
7/10/2018,116.61
7/11/2018,116.27
7/12/2018,118.15
7/13/2018,118.35
7/16/2018,117.49
7/17/2018,118.37
7/18/2018,118.23
7/19/2018,118.35
7/20/2018,118.26
7/23/2018,118.19
7/24/2018,118.02
7/25/2018,119.33
7/26/2018,117.85
7/27/2018,115.41
7/30/2018,114.13
7/31/2018,116.49
8/1/2018,117.17
8/2/2018,118.05
8/3/2018,117.17
8/6/2018,116.94
8/7/2018,118.38
8/8/2018,117.55
8/9/2018,117.37
8/10/2018,116.73
8/13/2018,116.56
8/14/2018,117.21
8/15/2018,115.38
8/16/2018,116.27
8/17/2018,116.29
8/20/2018,116.09
8/21/2018,117.17
8/22/2018,118
8/23/2018,117.32
8/24/2018,117.4
8/27/2018,119.46
8/28/2018,120.05
8/29/2018,121.56
8/30/2018,122.03
8/31/2018,122.19
9/4/2018,121
9/5/2018,120.56
9/6/2018,118.42
9/7/2018,117.74
9/10/2018,117.94
9/11/2018,117.44
9/12/2018,117.5
9/13/2018,118.37
9/14/2018,117.77
9/17/2018,116.21
9/18/2018,117.51
9/19/2018,117.66
9/20/2018,119.29
9/21/2018,118.55
9/24/2018,119.96
9/25/2018,120.23
9/26/2018,120.61
9/27/2018,121.87
9/28/2018,121.94
10/1/2018,121.17
10/2/2018,120.37
10/3/2018,121.26
10/4/2018,117.88
10/5/2018,116.53
10/8/2018,115.65
10/9/2018,115.13
10/10/2018,111.31
10/11/2018,109.08
10/12/2018,111.25
10/15/2018,110.09
10/16/2018,114.75
10/17/2018,114.69
10/18/2018,113
10/19/2018,111.22
10/22/2018,109.62
10/23/2018,109.09
10/24/2018,102.81
10/25/2018,103.99
10/26/2018,103.61
10/29/2018,102.61
10/30/2018,103.63
10/31/2018,104.07
11/1/2018,108.07
11/2/2018,108.1
11/5/2018,108.03
11/6/2018,108.5
11/7/2018,111.03
11/8/2018,110.17
11/9/2018,107.73
11/12/2018,104.45
11/13/2018,104.03
11/14/2018,101.92
11/15/2018,104.15
11/16/2018,105.05
11/19/2018,102.8
11/20/2018,102.18
11/21/2018,102.8
11/23/2018,103.21
11/26/2018,104.97
11/27/2018,104.7
11/28/2018,107.54
11/29/2018,107.49
11/30/2018,109.1
12/3/2018,110.35
12/4/2018,106.71
12/6/2018,106.88
12/7/2018,103.64
12/10/2018,103.82
12/11/2018,104.17
12/12/2018,105.48
12/13/2018,103.89
12/14/2018,101.93
12/17/2018,100.25
12/18/2018,98.31
12/19/2018,96.21
12/20/2018,94.56
12/21/2018,90.86
12/24/2018,89.61
12/26/2018,94.81
12/27/2018,95.16
12/28/2018,94.84
12/31/2018,96.43
1/2/2019,97.5
1/3/2019,97.64
1/4/2019,102.55
1/7/2019,105.99
1/8/2019,106.75
1/9/2019,107.5
1/10/2019,108.9
1/11/2019,109.01
1/14/2019,107.17
1/15/2019,109.24
1/16/2019,108.65
1/17/2019,109.79
1/18/2019,110.47
1/22/2019,108.72
1/23/2019,107.81
1/24/2019,107.79
1/25/2019,109.44
1/28/2019,107.26
1/29/2019,107.47
1/30/2019,108.2
1/31/2019,109.69
2/1/2019,110.27
2/4/2019,110.24
2/5/2019,110.06
2/6/2019,109.88
2/7/2019,107.13
2/8/2019,107.8
2/11/2019,108.34
2/12/2019,109.42
2/13/2019,109.75
2/14/2019,110.22
2/15/2019,112.04
2/19/2019,111.4
2/20/2019,111.1
2/21/2019,109.15
2/22/2019,110.71
2/25/2019,112.96
2/26/2019,112.5
2/27/2019,114.14
2/28/2019,112.74
3/1/2019,115.11
3/4/2019,114.01
3/5/2019,113.42
3/6/2019,109.87
3/7/2019,109.14
3/8/2019,108.61
3/11/2019,110.93
3/12/2019,111.84
3/13/2019,113.3
3/14/2019,112.99
3/15/2019,114.2
3/18/2019,113.92
3/19/2019,113.85
3/20/2019,113.18
3/21/2019,111.97
3/22/2019,108.17
3/25/2019,108.32
3/26/2019,110.33
3/27/2019,108.8
3/28/2019,109.46
3/29/2019,111.8
4/1/2019,111.91
4/2/2019,112.82
4/3/2019,113.49
4/4/2019,113.03
4/5/2019,114.93
4/8/2019,114.44
4/9/2019,112.6
4/10/2019,113.84
4/11/2019,111.9
4/12/2019,111.05
4/15/2019,110.49
4/16/2019,109.39
4/17/2019,105.14
4/18/2019,104.54
4/22/2019,104.59
4/23/2019,106.8
4/24/2019,105.64
4/25/2019,106.71
4/26/2019,107.4
4/29/2019,107.31
4/30/2019,106.42
5/1/2019,105.56
5/2/2019,105.98
5/3/2019,107.91
5/6/2019,108.83
5/7/2019,105.63
5/8/2019,105.59
5/9/2019,105.34
5/10/2019,105
5/13/2019,101.32
5/14/2019,102.44
5/15/2019,103.37
5/16/2019,104.44
5/17/2019,103.77
5/20/2019,102.32
5/21/2019,104.35
5/22/2019,104.68
5/23/2019,103.77
5/24/2019,104.2
5/28/2019,102.9
5/29/2019,101.75
5/30/2019,101.79
5/31/2019,99.98
6/3/2019,101.06
6/4/2019,103.01
6/5/2019,103.18
6/6/2019,102.17
6/7/2019,103.83
6/10/2019,103.21
6/11/2019,102.7
6/12/2019,103.33
6/13/2019,104.1
6/14/2019,103.13
6/17/2019,106.1
6/18/2019,107.56
6/19/2019,108.17
6/20/2019,108.62
6/21/2019,109.45
6/24/2019,107.12
6/25/2019,106.89
6/26/2019,105.82
6/27/2019,107.28
6/28/2019,109.1
7/1/2019,109.73
7/2/2019,109.65
7/3/2019,110.93
7/5/2019,109.22
7/8/2019,107.74
7/9/2019,108.84
7/10/2019,108.53
7/11/2019,106.98
7/12/2019,105.52
7/15/2019,106.08
7/16/2019,105.47
7/17/2019,105.58
7/18/2019,106.45
7/19/2019,104.88
7/22/2019,105.12
7/23/2019,105.39
7/24/2019,105.68
7/25/2019,104.2
7/26/2019,105.32
7/29/2019,105.41
7/30/2019,106.36
7/31/2019,105.66
8/1/2019,106.38
8/2/2019,105.07
8/5/2019,102.29
8/6/2019,103.74
8/7/2019,104.02
8/8/2019,105.88
8/9/2019,105.48
8/12/2019,104.16
8/13/2019,105.38
8/14/2019,103.03
8/15/2019,102.68
8/16/2019,104.97
8/19/2019,106.16
8/20/2019,105.08
8/21/2019,106.04
8/22/2019,105.17
8/23/2019,102.41
8/26/2019,103.16
8/27/2019,102.22
8/28/2019,102.88
8/29/2019,103.62
8/30/2019,102.93
9/3/2019,101.15
9/4/2019,101.21
9/5/2019,102.39
9/6/2019,102.24
9/9/2019,101.83
9/10/2019,102.98
9/11/2019,104.76
9/12/2019,104.15
9/13/2019,104.2
9/16/2019,105.14
9/17/2019,105.19
9/18/2019,104.44
9/19/2019,104.63
9/20/2019,105.55
9/23/2019,104.63
9/24/2019,102.42
9/25/2019,102.13
9/26/2019,100.08
9/27/2019,99.3
9/30/2019,99.5
10/1/2019,98
10/2/2019,97.24
10/3/2019,98.79
10/4/2019,99.53
10/7/2019,99.41
10/8/2019,97.61
10/9/2019,97.75
10/10/2019,99
10/11/2019,100.24
10/14/2019,100.62
10/15/2019,102.46
10/16/2019,102.35
10/17/2019,103.03
10/18/2019,102.27
10/21/2019,103.58
10/22/2019,105.3
10/23/2019,105.64
10/24/2019,105.74
10/25/2019,105.59
10/28/2019,107
10/29/2019,107.46
10/30/2019,107.59
10/31/2019,107.34
11/1/2019,109.85
11/4/2019,109.5
11/5/2019,109.52
11/6/2019,108.31
11/7/2019,108.35
11/8/2019,110.36
11/11/2019,110.04
11/12/2019,110.38
11/13/2019,110.58
11/14/2019,109.85
11/15/2019,111.5
11/18/2019,111.24
11/19/2019,113.45
